stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000612,612,Copeland Avenue,,53.3657562265179,-6.2242091299833,,,,
8220DB000613,613,Marino Crescent Park,,53.364618,-6.226811,,,,
8220DB000614,614,Fairview,,53.363284,-6.234544,,,,
8220DB000616,616,North Strand Fire Station,,53.359845,-6.239555,,,,
8220DB000617,617,North Strand Road,,53.357895,-6.242009,,,,
8220DB000618,618,Newcomen Bridge,,53.355807,-6.245148,,,,
8220DB000619,619,Five Lamps,,53.354198,-6.247095,,,,
8220DB000620,620,Talbot Street East,,53.350961,-6.25278,,,,
8220DB000621,621,Talbot Street West,,53.350518,-6.256268,,,,
8220DB000624,624,Harmonstown Road,,53.380185,-6.189125,,,,
8220DB000625,625,Lein Park,,53.381788,-6.186321,,,,
8220DB000626,626,Edenmore Green,,53.384495,-6.184056,,,,
8220DB000627,627,Edenmore Grove South,,53.385407,-6.182003,,,,
8220DB000628,628,Edenmore Grove North,,53.386955,-6.183907,,,,
8220DB000629,629,Edenmore Park,,53.386528,-6.185969,,,,
8220DB000630,630,Springdale Road,,53.387244,-6.189322,,,,
8220DB000633,633,Tonlegee Drive,,53.389644,-6.189355,,,,
8220DB000634,634,Tonlegee Avenue,,53.390275,-6.184141,,,,
8220DB000635,635,Edenmore Shopping Centre,,53.389023,-6.183924,,,,
8220DB000636,636,Glenwood Road,,53.388859,-6.186742,,,,
8220DB000637,637,Glenfarne Road,,53.387792,-6.189885,,,,
8220DB000638,638,Springdale Road,,53.386762,-6.18838,,,,
8220DB000639,639,Edenmore Park,,53.386333,-6.186744,,,,
8220DB000640,640,Edenmore Grove North,,53.386705,-6.183451,,,,
8220DB000641,641,Edenmore Grove South,,53.385826,-6.182391,,,,
8220DB000642,642,Edenmore Green,,53.384732,-6.183114,,,,
8220DB000643,643,Saint Joseph's Hospital,,53.383566,-6.183885,,,,
8220DB000644,644,Lein Park,,53.382362,-6.185711,,,,
8220DB000645,645,Harmonstown Road,,53.380169,-6.18863,,,,
8220DB000649,649,All Saints Road,,53.3762836659106,-6.18966656708744,,,,
8220DB000650,650,Sybil Hill Avenue,,53.3754028537338,-6.18552548323385,,,,
8220DB000651,651,All Saints Park,,53.3754794507715,-6.1799309090613,,,,
8220DB000653,653,Raheny,,53.3794630466244,-6.17534163896221,,,,
8220DB000654,654,Watermill Road,,53.37921,-6.177021,,,,
8220DB000655,655,Watermill Drive,,53.3777386713847,-6.17543040232881,,,,
